iter	Logloss
0	0.6868674954
1	0.6802386877
2	0.6785868914
3	0.6732523977
4	0.6685573722
5	0.6632336399
6	0.6615445517
7	0.6595590127
8	0.6551175898
9	0.6504639282
10	0.6490528397
11	0.647924991
12	0.6438403035
13	0.639418656
14	0.6352737997
15	0.6336420735
16	0.6324389393
17	0.6280286331
18	0.6246897611
19	0.623446589
20	0.6202372098
21	0.6192500854
22	0.618058776
23	0.6172011373
24	0.6143721939
25	0.6131198693
26	0.6108424979
27	0.6095842392
28	0.6083442289
29	0.6051466915
30	0.6027824965
31	0.5994581562
32	0.598293435
33	0.5953840321
34	0.5946404999
35	0.591155604
36	0.5903843663
37	0.5893414159
38	0.5869023219
39	0.5862716626
40	0.5855305849
41	0.5843885278
42	0.5836325955
43	0.5829505903
44	0.5797660347
45	0.577652086
46	0.5769221987
47	0.5762769419
48	0.5757274801
49	0.5735768346
50	0.5728457614
51	0.5721387988
52	0.5718107261
53	0.5695534696
54	0.5677681829
55	0.5671587534
56	0.5665007145
57	0.5644569348
58	0.5639992939
59	0.5637653898
60	0.5616366649
61	0.558946594
62	0.5581296145
63	0.5575639735
64	0.5570878173
65	0.5548697962
66	0.5529969196
67	0.5522797859
68	0.5520227201
69	0.5501568741
70	0.5497164488
71	0.5490485354
72	0.5484735916
73	0.5479399644
74	0.5475956523
75	0.5469858559
76	0.5468438963
77	0.5465591606
78	0.5446451057
79	0.5444365797
80	0.5440962578
81	0.5436886805
82	0.5432344389
83	0.5428623497
84	0.5409214198
85	0.5393926366
86	0.5389134015
87	0.5387750149
88	0.5383372418
89	0.5379485855
90	0.5374820656
91	0.5370119003
92	0.5365985101
93	0.5363914658
94	0.5360322297
95	0.5355941574
96	0.5351252049
97	0.5348632304
98	0.5345974027
99	0.5343807387
100	0.5339730208
101	0.5335660384
102	0.5331156569
103	0.5327369045
104	0.5324475137
105	0.5310664187
106	0.529726819
107	0.5282283437
108	0.5279399935
109	0.5277359423
110	0.5275278037
111	0.5270494555
112	0.5267023042
113	0.5262868421
114	0.5259053581
115	0.5255727852
116	0.5251861108
117	0.525019689
118	0.5245506639
119	0.5242707165
120	0.524081187
121	0.5237757043
122	0.5234349415
123	0.5229394679
124	0.521658217
125	0.5213543154
126	0.5209183597
127	0.5206252883
128	0.5202943369
129	0.520131261
130	0.5197556238
131	0.5195685029
132	0.5194611581
133	0.5191582088
134	0.5188834132
135	0.5175131338
136	0.5172446259
137	0.516948131
138	0.5157126719
139	0.5155162044
140	0.5152513232
141	0.5150257143
142	0.5147334207
143	0.5145198829
144	0.5143188026
145	0.5139537419
146	0.5135598899
147	0.5132604577
148	0.5129269289
149	0.5127206625
150	0.5124846453
151	0.5122707402
152	0.5120849399
153	0.5118411543
154	0.5116454432
155	0.511471774
156	0.5101923676
157	0.5100629155
158	0.5099401923
159	0.5096967668
160	0.5085830781
161	0.5082997679
162	0.5080411869
163	0.5079113724
164	0.5077494332
165	0.5075735374
166	0.5064399987
167	0.5058020737
168	0.5050334317
169	0.5048465328
170	0.5046166414
171	0.5043918821
172	0.5040356128
173	0.5036688015
174	0.5027763058
175	0.5015266281
176	0.5012423507
177	0.500983308
178	0.5008050372
179	0.5006096163
180	0.5004751345
181	0.5002530907
182	0.5001677882
183	0.5000378642
184	0.4998314528
185	0.499564044
186	0.4993872374
187	0.499131699
188	0.4989592938
189	0.4987428151
190	0.4987039188
191	0.4984599503
192	0.498199399
193	0.4979969164
194	0.4979193037
195	0.4968006319
196	0.4966808334
197	0.4962653858
198	0.4959981544
199	0.495934723
200	0.4957940012
201	0.494744078
202	0.494542303
203	0.4940910821
204	0.4939030202
205	0.4937765504
206	0.4935134649
207	0.4931948983
208	0.4928242174
209	0.4926423047
210	0.4923859807
211	0.4920652772
212	0.4919021617
213	0.4916291156
214	0.4914326863
215	0.4912830782
216	0.4910983538
217	0.4908578126
218	0.4907960083
219	0.4906415397
220	0.4906096982
221	0.4903955682
222	0.4902466548
223	0.4894122569
224	0.4892781968
225	0.4890395225
226	0.4888178173
227	0.488586015
228	0.4883216756
229	0.488297139
230	0.4881649732
231	0.4880732661
232	0.4880166752
233	0.4867313859
234	0.4864875301
235	0.486219534
236	0.4859723412
237	0.4857568818
238	0.4855692364
239	0.4854774149
240	0.485447385
241	0.4853004246
242	0.4851141135
243	0.4849004663
244	0.484656244
245	0.4842779759
246	0.4835056374
247	0.4833036402
248	0.4830607067
249	0.4827253176
250	0.4825778818
251	0.4823580052
252	0.4822576469
253	0.4820060465
254	0.4818886611
255	0.48171581
256	0.481482563
257	0.4812573204
258	0.4810696237
259	0.4809955908
260	0.4808873128
261	0.4807863863
262	0.4799290391
263	0.4797716492
264	0.479591103
265	0.478804986
266	0.4786412935
267	0.478323274
268	0.4781882329
269	0.4779952
270	0.4779254018
271	0.4775460259
272	0.477502815
273	0.4773746314
274	0.4772797625
275	0.4771722629
276	0.477103512
277	0.4768798036
278	0.4767303393
279	0.4766782383
280	0.4757471211
281	0.4756216367
282	0.4755503627
283	0.4754331778
284	0.4753472074
285	0.4750722954
286	0.4749416018
287	0.474780379
288	0.4745381863
289	0.4743103521
290	0.4741205072
291	0.4738946592
292	0.4738423149
293	0.4737906332
294	0.4737120852
295	0.4735817248
296	0.4734008694
297	0.4731769546
298	0.4730377249
299	0.4729225204
300	0.4727149905
301	0.4726035764
302	0.4723743046
303	0.4721446224
304	0.4719677552
305	0.4718938392
306	0.4717775886
307	0.4716387913
308	0.4715721902
309	0.4715217051
310	0.4714800895
311	0.4712624769
312	0.4710438151
313	0.4708778718
314	0.4708213123
315	0.4701091297
316	0.4700014191
317	0.4697528067
318	0.4696566804
319	0.4695605985
320	0.4694708793
321	0.4693104698
322	0.4687808187
323	0.4686064148
324	0.4685083718
325	0.4683988414
326	0.4682994025
327	0.4680868073
328	0.4677647418
329	0.4676598921
330	0.4675429244
331	0.4674583444
332	0.4674373994
333	0.4669588516
334	0.4667488519
335	0.4666047942
336	0.4664400168
337	0.4663314753
338	0.4661856121
339	0.4660351119
340	0.4659523821
341	0.4657363433
342	0.4655353595
343	0.4654053843
344	0.4652603051
345	0.465189001
346	0.4650835682
347	0.4649454908
348	0.4647756826
349	0.4646127175
350	0.4645259793
351	0.4644938336
352	0.4643551427
353	0.4642738104
354	0.4640727389
355	0.4639565165
356	0.4638522147
357	0.4637750133
358	0.4631065127
359	0.4625158112
360	0.4623311646
361	0.462211464
362	0.4620498048
363	0.4619123129
364	0.4617816618
365	0.4615325583
366	0.4613194642
367	0.4610697133
368	0.4609938552
369	0.4606982222
370	0.4605231362
371	0.460319605
372	0.4601744242
373	0.4601513245
374	0.4598149274
375	0.4596724434
376	0.459587681
377	0.4595249823
378	0.4593887889
379	0.4590994283
380	0.4589229704
381	0.4586749054
382	0.4584450854
383	0.4579427242
384	0.4576928452
385	0.4575841032
386	0.4574495291
387	0.457350156
388	0.45722414
389	0.4571153379
390	0.4569721277
391	0.4568345704
392	0.4566308025
393	0.4565887128
394	0.4563098319
395	0.4562538561
396	0.4561453692
397	0.4554361976
398	0.4552802738
399	0.4552264716
400	0.4549684694
401	0.4548576163
402	0.4546946537
403	0.4543196352
404	0.454181186
405	0.4539401313
406	0.4537161868
407	0.4535921296
408	0.4535255443
409	0.4533950435
410	0.4532636195
411	0.4528921587
412	0.4526033825
413	0.4524713364
414	0.4523765739
415	0.4521248734
416	0.4518786404
417	0.451808395
418	0.4515593002
419	0.4514620401
420	0.4509775101
421	0.4507809597
422	0.4505850146
423	0.4504774176
424	0.4502514155
425	0.4499875157
426	0.4499204249
427	0.4493793948
428	0.4483778165
429	0.4482651232
430	0.4480769325
431	0.4471597022
432	0.4469416163
433	0.4466867625
434	0.4465841045
435	0.4465436429
436	0.4463799344
437	0.4462265299
438	0.4460166622
439	0.4458607066
440	0.4457496877
441	0.4455600395
442	0.4452171049
443	0.4449302822
444	0.4448656416
445	0.4448218564
446	0.4446461963
447	0.4444739442
448	0.4435434088
449	0.4433616323
450	0.4431237417
451	0.4430455862
452	0.4428163536
453	0.4419693005
454	0.4413958413
455	0.4413550852
456	0.4412263608
457	0.4410859822
458	0.4408487412
459	0.4408148175
460	0.4405584512
461	0.4404701557
462	0.4403796259
463	0.4401534157
464	0.4399910705
465	0.4398417133
466	0.4396393789
467	0.4394384907
468	0.4392364505
469	0.4390784885
470	0.4387361283
471	0.4382757224
472	0.4380648545
473	0.4375613004
474	0.4373588973
475	0.4373091956
476	0.4371722548
477	0.4369587104
478	0.4367139962
479	0.4365605854
480	0.4363728498
481	0.4362532898
482	0.4360676087
483	0.436009397
484	0.4358800307
485	0.4357939537
486	0.4356328149
487	0.4353752372
488	0.4350069374
489	0.4348459332
490	0.4346905962
491	0.4346264894
492	0.434415966
493	0.4341231028
494	0.4341062691
495	0.4338767664
496	0.4337813264
497	0.4336689355
498	0.4335397805
499	0.4330802898
500	0.4328545273
501	0.4325820462
502	0.4324320643
503	0.4323201734
504	0.4321084133
505	0.431977152
506	0.431899193
507	0.4318014071
508	0.4317335903
509	0.4316526998
510	0.4315361783
511	0.4313516212
512	0.4310743888
513	0.4308272182
514	0.4305830766
515	0.4302624672
516	0.4302246976
517	0.4300476489
518	0.4298577527
519	0.4296710469
520	0.4294751886
521	0.4293480193
522	0.4293056538
523	0.4289692719
524	0.4288651956
525	0.4286090498
526	0.428415793
527	0.4281761329
528	0.4279411781
529	0.4277735355
530	0.4275959997
531	0.4273306051
532	0.4272164122
533	0.4269533435
534	0.4267667943
535	0.4265460436
536	0.4264338989
537	0.4264138434
538	0.4262312168
539	0.4255044059
540	0.4252949922
541	0.4251618795
542	0.4249797423
543	0.4249385888
544	0.4244775914
545	0.424290518
546	0.424156104
547	0.4241136849
548	0.4238925965
549	0.4236555867
550	0.4234063219
551	0.4229616272
552	0.4223340132
553	0.4220541262
554	0.4220323586
555	0.4218323153
556	0.4212567809
557	0.4210211963
558	0.4207657014
559	0.4206992587
560	0.4202808766
561	0.4201389959
562	0.4198829695
563	0.4198379162
564	0.4197077999
565	0.4195177168
566	0.4193086907
567	0.4192353893
568	0.4191113321
569	0.4188039942
570	0.4187099798
571	0.4185643961
572	0.4184614259
573	0.4184105692
574	0.4181828324
575	0.4177758716
576	0.4170154904
577	0.4168638796
578	0.4165698952
579	0.41628866
580	0.4161565518
581	0.4160015356
582	0.4157292042
583	0.41559429
584	0.4155803576
585	0.4153855946
586	0.4153241944
587	0.4151703868
588	0.4151528504
589	0.4150704054
590	0.4149510691
591	0.4147115309
592	0.414624379
593	0.4145210342
594	0.4143690629
595	0.4142041778
596	0.4140751565
597	0.4140158014
598	0.4136131851
599	0.4133267487
600	0.4132137656
601	0.4131908331
602	0.4130844616
603	0.4130093287
604	0.412626554
605	0.4125840092
606	0.4123930702
607	0.4123341994
608	0.4123064881
609	0.4120759077
610	0.4119371999
611	0.411661846
612	0.4115022071
613	0.4114719936
614	0.4114602663
615	0.4113263282
616	0.411289758
617	0.4110274028
618	0.4107928738
619	0.4105824617
620	0.4105711941
621	0.4104071439
622	0.4103124898
623	0.4101515359
624	0.4100524708
625	0.410037426
626	0.4100216568
627	0.4097619192
628	0.4096354835
629	0.4094428997
630	0.4092710735
631	0.4089571261
632	0.4087885856
633	0.4086056652
634	0.4085175649
635	0.4084975313
636	0.4083873751
637	0.4083403447
638	0.4081703585
639	0.4080095764
640	0.4076403462
641	0.4073915963
642	0.4073248227
643	0.4071861823
644	0.4070383846
645	0.406790979
646	0.4063968786
647	0.4062668389
648	0.4059000487
649	0.4057925799
650	0.405697505
651	0.4054868962
652	0.4052886038
653	0.4051585219
654	0.4050046488
655	0.4049366098
656	0.4047525102
657	0.4043764576
658	0.4043678762
659	0.4041223695
660	0.4037597262
661	0.4035604236
662	0.403382409
663	0.4033524569
664	0.4032479481
665	0.4032189781
666	0.4030507243
667	0.4029040818
668	0.4027136774
669	0.4024717306
670	0.4023646889
671	0.4023603026
672	0.4023346209
673	0.4020730159
674	0.401828943
675	0.4017408395
676	0.4017269194
677	0.401605906
678	0.4015225844
679	0.4013087841
680	0.4011198875
681	0.4010241413
682	0.4008182875
683	0.400605462
684	0.4004798456
685	0.4004068635
686	0.4002507826
687	0.4000715156
688	0.3999051794
689	0.3996755571
690	0.3990882741
691	0.398875731
692	0.3988601807
693	0.3987679642
694	0.398507109
695	0.3984329499
696	0.3983929667
697	0.3981866491
698	0.39806707
699	0.3979284799
700	0.3978060997
701	0.3975650244
702	0.397472624
703	0.3974575874
704	0.3972225905
705	0.3970419731
706	0.3970271884
707	0.3967866861
708	0.3966554411
709	0.396405664
710	0.3963092649
711	0.3962222483
712	0.3960907613
713	0.3958904828
714	0.3958350529
715	0.3958240514
716	0.3956718088
717	0.3955893533
718	0.3954035043
719	0.3950875956
